"","sample","X07c_viral","X04_repeats","X02_rdna","X05_immune","X01_lowq","X05_circrna","X07b_bacteria","X06_immune","X07d_fungi","X07e_protozoa","X03_reference"
"83","PIVUS092",265564,30059,13141,0,0,0,0,881,3157,156,940409
"84","PIVUS093",85303,16252,5208,0,0,0,0,1158,997,68,247525
"85","PIVUS094",85698,15292,23127,0,0,0,0,1079,4864,1687,275667
"86","PIVUS095",146554,12104,10788,0,0,0,0,954,1008,77,252934
"87","PIVUS096",101533,17438,7357,0,0,0,0,1032,923,68,317392
"88","PIVUS097",91981,18615,5627,0,0,0,0,399,1178,82,296462
"89","PIVUS098",138736,11690,4608,0,0,0,0,404,936,125,244401
"90","PIVUS099",136759,21022,28727,0,0,0,0,797,2541,353,466764
"91","PIVUS100",289806,12232,3612,0,0,0,0,229,4791,1506,368599
"92","PIVUS101",130019,15405,7167,0,0,0,0,477,1309,87,264895
"93","PIVUS102",105345,17898,8603,0,0,0,0,443,1435,129,300148
"94","PIVUS103",39582,13165,5874,0,0,0,0,300,951,72,183811
"95","PIVUS104",68914,12980,8917,0,0,0,0,485,1391,88,235555
"96","PIVUS105",74751,11986,14738,0,0,0,0,287,1272,101,267683
"97","PIVUS106",97366,16022,9681,0,0,0,0,241,1198,105,283297
"98","PIVUS107",87366,14145,32267,0,0,0,0,692,4450,2080,250213
"99","PIVUS108",244053,13933,6457,0,0,0,0,493,2312,99,387968
"100","PIVUS109",68826,16308,6564,0,0,0,0,1250,1359,129,274273
"101","PIVUS110",93512,13942,14059,0,0,0,0,147,1670,71,291381
"102","PIVUS111",106867,14930,15690,0,0,0,0,433,3839,1561,280482
"103","PIVUS112",49785,16574,18116,0,0,0,0,337,2780,854,216471
"104","PIVUS113",87850,15818,7024,0,0,0,0,323,1171,53,259072
"105","PIVUS114",89533,19710,4871,0,0,0,0,618,3047,547,325117
"106","PIVUS115",68006,14442,10811,0,0,0,0,805,1408,136,240409
"107","PIVUS116",150762,15609,4497,0,0,0,0,527,2400,156,317263
"108","PIVUS117",322919,38027,43445,0,0,0,0,737,7036,264,1896986
"109","PIVUS118",175768,27899,29623,0,0,0,0,609,4007,222,1294297
"110","PIVUS119",167552,27250,28531,0,0,0,0,631,4041,185,1166426
"111","PIVUS120",173089,24102,21828,0,0,0,0,719,2871,150,942480
"112","PIVUS121",109524,24555,13379,0,0,0,0,1092,2118,170,640713
"113","PIVUS122",126063,30949,10325,0,0,0,0,1221,1787,138,865443
"114","PIVUS123",288416,35091,14034,0,0,0,0,1066,3772,285,1188253
"115","PIVUS124",200024,29029,61129,0,0,0,0,559,24135,8880,1113844
"116","PIVUS125",266937,27991,27896,0,0,0,0,629,4799,308,1559485
"117","PIVUS126",243060,33710,23451,0,0,0,0,689,5296,273,1664271
"118","PIVUS127",265028,24565,36574,0,0,0,0,337,8892,294,1602355
"119","PIVUS128",311146,21170,79699,0,0,0,0,312,9603,534,1460867
"120","PIVUS129",369287,34034,51472,0,0,0,0,719,8039,308,2233697
"121","PIVUS130",308266,28178,37669,0,0,0,0,497,7243,215,1762817
"122","PIVUS131",408660,49930,39627,0,0,0,0,982,8171,500,2378404
"123","PIVUS132",514206,44828,58743,0,0,0,0,843,9211,303,2678900
"124","PIVUS133",176994,31195,33516,0,0,0,0,797,3327,241,1081645
"125","PIVUS134",237882,43082,25299,0,0,0,0,689,4330,176,1371017
"126","PIVUS135",173815,38083,25454,0,0,0,0,1417,6511,937,1061323
"127","PIVUS136",202882,33396,39580,0,0,0,0,1660,3192,303,1293799
"128","PIVUS137",113414,23559,17876,0,0,0,0,718,2391,215,823002
"129","PIVUS138",218393,35695,22369,0,0,0,0,1134,3630,429,1161988
