"","Age 70","Age 80"
"1",0.0617218735228137,0.0854591865831153
"3",0.214684805379264,0.250817426328382
"5",0.195598674386233,0.194454399288245
"7",0.142515221999063,0.153174625965597
"9",0.117004824063564,0.159141445731864
"11",0.092225662995646,0.0986647309527229
"13",0.0895334551640749,0.0761712502191322
"15",0.0845065897792163,0.0827622028985507
"17",0.10256028548577,0.0932980945322692
"19",0.113831952407234,0.117689759160051
"21",0.141375084142577,0.211945217138368
"23",0.222317315958457,0.306124999010207
"25",0.256322585359821,0.205475543408122
"27",0.136720672362511,0.147687165424583
"29",0.179198819541855,0.181446469476482
"31",0.158827302933035,0.173029977161411
"34",0.16267914128745,0.175490364988655
"36",0.164609150201808,0.334909129110201
"38",0.140690072845538,0.180186350843052
"40",0.175949723055376,0.235978928642206
"42",0.171923909560148,0.17712452893297
"44",0.183303625401057,0.165843218739579
"46",0.150033553173465,0.166692679129913
"48",0.207832792698478,0.298808269315851
"50",0.177708238239802,0.164765953035094
"52",0.191532433112876,0.206010151415345
"54",0.186371082318489,0.133922336812086
"56",0.162641958598418,0.188811445705677
"58",0.175486051267698,0.207290004230769
"60",0.147038704658111,0.201920371540536
"62",0.269422926438517,0.247875551205094
"64",0.292545707537741,0.304134657488659
"66",0.169957028753566,0.332302640715015
"68",0.311906935060594,0.393637022495764
"70",0.258640704518857,0.302250963272954
"72",0.153100431983859,0.265708154781077
"74",0.240698459907035,0.301987526391147
"76",0.111439299123905,0.148494205251154
"78",0.132980981314245,0.139641285017637
"80",0.202112081463394,0.187152541719102
"82",0.138392070996873,0.211880478742459
"84",0.239271719526186,0.210346232579146
"86",0.345304993414527,0.227783722907595
"88",0.221991871488425,0.346061361935645
"90",0.208168496551556,0.425700121185414
"92",0.310042231119399,0.242729855461163
"94",0.162384361346434,0.209892486218134
"96",0.201584065498439,0.238694810129685
"98",0.223320799666678,0.372420896820613
"100",0.186667534559775,0.225448548876277
"102",0.252162566481517,0.16327394012141
"104",0.236594121908589,0.201904190617509
"106",0.202388569625942,0.306917148126886
"108",0.139827246219171,0.114699251186844
"110",0.120142031928502,0.148543775139692
"112",0.138366321310945,0.121691124655622
"114",0.188394276110331,0.139137451307735
"116",0.141382753059382,0.123333756184194
"118",0.136750178659422,0.165210470172264
"120",0.136896879990629,0.14372145826
"122",0.141587389139077,0.155488573749166
"124",0.133307223312232,0.141388133553247
"126",0.132932835706747,0.128829345979076
"128",0.115589981399852,0.151279614418573
