SAMPLE,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG, loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
PIVUS055_Aligned--06_immune_output,0,0,0,23,3,0,0,0,0,0,73,12,0,0,0.0,0,0,2.89497639977,0.56608573896,0.0,0
PIVUS056_Aligned--06_immune_output,1,0,0,30,2,2,0,1,0,0,94,21,3,0,-0.0,0,0,2.99413072565,0.191444081958,0.636514168295,0
PIVUS057_Aligned--06_immune_output,2,0,0,32,5,1,0,4,0,0,99,8,3,0,0.562335144619,0,0,3.08359660624,1.49417513829,-0.0,0
PIVUS058_Aligned--06_immune_output,2,0,1,33,4,0,0,2,0,1,80,8,0,0,0.6931471805600001,0,-0.0,3.1912186165599996,1.07354284641,0.0,0
PIVUS059_Aligned--06_immune_output,3,0,0,31,6,0,0,4,0,0,157,11,0,0,1.0397207708399998,0,0,3.08906856134,1.59416669912,0.0,0
PIVUS060_Aligned--06_immune_output,0,0,0,24,0,1,0,0,0,0,52,0,6,0,0.0,0,0,2.8591629991400005,0.0,-0.0,0
PIVUS061_Aligned--06_immune_output,3,0,0,29,3,0,0,4,0,0,70,3,0,0,1.0397207708399998,0,0,3.05286518895,1.09861228867,0.0,0
PIVUS062_Aligned--06_immune_output,4,0,0,32,2,0,0,10,0,0,79,4,0,0,1.2798542258299999,0,0,3.24713374305,0.562335144619,0.0,0
PIVUS063_Aligned--06_immune_output,2,0,1,34,6,2,0,3,0,2,110,9,2,0,0.636514168295,0,-0.0,3.19844317107,1.7351264569599998,0.6931471805600001,0
PIVUS064_Aligned--06_immune_output,1,1,0,32,4,2,1,1,1,0,129,7,2,1,-0.0,-0.0,0,3.12043420801,1.2770342594700002,0.6931471805600001,-0.0
PIVUS065_Aligned--06_immune_output,4,0,0,33,7,2,0,5,0,0,93,96,2,0,1.33217904021,0,0,3.1815787343700004,1.01024565588,0.6931471805600001,0
PIVUS066_Aligned--06_immune_output,2,2,1,36,5,0,0,3,4,1,121,8,0,0,0.636514168295,0.562335144619,-0.0,3.26205277036,1.5595811562600002,0.0,0
PIVUS067_Aligned--06_immune_output,3,2,0,36,3,3,0,3,2,0,151,3,4,0,1.09861228867,0.6931471805600001,0,3.1128168834,1.09861228867,1.0397207708399998,0
PIVUS068_Aligned--06_immune_output,5,0,1,42,4,0,0,5,0,1,256,4,0,0,1.60943791243,0,-0.0,3.36279201899,1.3862943611200003,0.0,0
PIVUS069_Aligned--06_immune_output,2,0,0,16,2,0,0,3,0,0,32,7,0,0,0.636514168295,0,0,2.63472764028,0.410116318288,0.0,0
PIVUS070_Aligned--06_immune_output,1,0,0,18,3,1,0,1,0,0,33,3,1,0,-0.0,0,0,2.67692298343,1.09861228867,-0.0,0
PIVUS071_Aligned--06_immune_output,1,0,0,21,5,3,0,1,0,0,42,16,4,0,-0.0,0,0,2.82129954664,1.16018624398,1.0397207708399998,0
PIVUS072_Aligned--06_immune_output,4,0,0,31,4,2,0,19,0,0,63,4,5,0,1.05968466737,0,0,3.1397177099299998,1.3862943611200003,0.500402423538,0
PIVUS073_Aligned--06_immune_output,2,0,0,24,5,0,0,6,0,0,41,38,0,0,0.45056120886600004,0,0,2.9252576297500004,0.564663952108,0.0,0
PIVUS074_Aligned--06_immune_output,2,0,0,25,1,0,1,2,0,0,53,2,0,1,0.6931471805600001,0,0,2.92361318926,-0.0,0.0,-0.0
PIVUS075_Aligned--06_immune_output,3,1,0,21,2,1,0,3,2,0,40,6,2,0,1.09861228867,-0.0,0,2.81540358902,0.45056120886600004,-0.0,0
PIVUS076_Aligned--06_immune_output,1,1,0,24,2,0,0,1,7,0,44,2,0,0,-0.0,-0.0,0,2.88279455975,0.6931471805600001,0.0,0
PIVUS077_Aligned--06_immune_output,0,0,0,14,3,1,0,0,0,0,31,10,1,0,0.0,0,0,2.42736868324,0.8018185525429999,-0.0,0
PIVUS078_Aligned--06_immune_output,3,0,0,16,0,1,0,8,0,0,31,0,1,0,1.0397207708399998,0,0,2.57840517444,0.0,-0.0,0
