SAMPLE,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG, loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
PIVUS127_Aligned--06_immune_output,21,7,8,132,32,1,0,34,66,24,155,56,2,0,2.86655519176,1.2481169372799998,1.7100570147,4.76818363829,3.21553395242,-0.0,0
PIVUS128_Aligned--06_immune_output,19,5,8,156,23,0,0,26,35,23,184,44,0,0,2.8446135835799997,1.24413346269,1.83601155217,4.91982572197,2.96084637348,0.0,0
PIVUS129_Aligned--06_immune_output,32,8,9,212,82,1,0,47,128,19,247,277,1,0,3.35595172798,1.06814067744,1.9408430327400001,5.27888472391,3.73801716173,-0.0,0
PIVUS130_Aligned--06_immune_output,30,7,5,182,53,2,1,41,73,12,219,148,2,2,3.2823030759500003,0.813621127694,1.51710639706,5.11126075317,3.45329664334,0.6931471805600001,-0.0
PIVUS131_Aligned--06_immune_output,59,8,10,260,125,10,3,74,69,23,336,458,13,9,4.0159885586,0.850754006797,2.06107134931,5.42988408135,4.12755875547,2.2450352741299997,0.6837389058490001
PIVUS132_Aligned--06_immune_output,56,7,13,289,84,4,1,102,77,27,343,283,9,2,3.82603485014,0.991952396469,2.39424709482,5.58579612044,3.69591793884,1.0027182645200001,-0.0
PIVUS133_Aligned--06_immune_output,83,13,11,154,135,0,2,107,99,22,183,382,0,4,4.3244774349599995,1.31409361429,2.2365994362,4.97550376382,4.1308905062,0.0,0.562335144619
PIVUS134_Aligned--06_immune_output,92,14,15,163,71,0,0,145,148,38,187,171,0,0,4.3414578837099995,1.45090332067,2.11055817176,5.026799165340001,3.6656357116400002,0.0,0
PIVUS135_Aligned--06_immune_output,170,19,10,144,162,2,1,250,219,33,199,710,4,2,5.00735870569,1.3815321846200002,2.0515270012099998,4.67460710671,3.76630866515,0.562335144619,-0.0
PIVUS136_Aligned--06_immune_output,288,22,19,130,122,1,1,438,502,105,152,461,1,1,5.48134688515,1.46013590254,2.44308113211,4.80378502916,3.8191456459099995,-0.0,-0.0
PIVUS137_Aligned--06_immune_output,65,14,7,117,104,0,1,88,76,11,138,403,0,2,4.06180384251,1.4696831563600001,1.8462202193200001,4.68432806048,3.9267798713199995,0.0,-0.0
PIVUS138_Aligned--06_immune_output,79,9,8,170,126,1,1,162,128,21,215,605,1,2,4.11038916,1.26902049979,1.76533953272,4.99202548005,3.8239795717400002,-0.0,-0.0
